aalib 1.4rc5-19
libnautilus-extension 50.2.2-1
libnetfilter_conntrack 1.1.1-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.58.0-1
libnotify 0.8.8-1
libnsbmp 0.1.7-2
libnsgif 1.0.0-2
libnsl 2.0.1-2
libnss_nis 3.4-1
libntfs-3g 2026.7.7-1
libnumbertext 1.0.11-3
libnvme 1.16.2-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.7-1
liborcus 0.21.0-6
libosinfo 1.12.0-3
libp11-kit 0.26.5-1
libpagemaker 0.0.4-5
libpaper 2.2.8-1
libpathrs 0.2.5-2
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplist 2.7.0-3
libpng 1.6.58-2
libportal 0.10.0-1
libportal-gtk4 0.10.0-1
libppd 2.1.1-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libpwquality 1.4.5-7
libqalculate 5.12.0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libqxp 0.0.3-1
libraqm 0.11.0-1
libraw 0.22.2-1
libraw1394 2.1.2-4
libreoffice-fresh 26.2.5-1
libretro-beetle-pce 20260411.153115.gae99235c2139-1
libretro-beetle-pce-fast 20260718.033932.g9e6510023545-1
libretro-beetle-psx 20260720.083450.g3adb56126e78-1
libretro-beetle-psx-hw 20260720.083450.g3adb56126e78-1
libretro-beetle-supergrafx 20260420.173343.g3c6fcd3deded-1
libretro-blastem 20220726.034247.g277e4a626685-1
libretro-bsnes 1:20260719.184125.g9c1285dda7dd-1
libretro-bsnes-hd 20251205.215259.gfc26b25ea236-1
libretro-bsnes2014 1:577-3
libretro-cap32-git 1:4.5.4.r51.g4abfb8b-1
libretro-core-info 1.22.2-1
libretro-database-git 1:1.22.1.r200.g9aec589-1
libretro-desmume 20260516.000420.gae0f7f51f96d-1
libretro-dolphin 20260625.121047.g2b19e1876cd9-1
libretro-fbneo-git 1:1.0.0.02.r8524.gd8c273a-1
libretro-flycast 20260624.072048.g1251a53aed36-1
libretro-gambatte 20260626.114630.g7bc6861b2395-1
libretro-genesis-plus-gx 20260605.160836.gf2b40ca6c97b-1
libretro-kronos 20250312.072602.g6709c1dd0e26-1
libretro-mame 20260616.143603.g0108c5ef3a22-1
libretro-mame2016 44430-1
libretro-melonds 20260625.154401.gc9550d18923f-2
libretro-mesen 20241218.081837.ge1180957b319-1
libretro-mesen-s 20241218.084431.g1768b4fc83fa-1
libretro-mgba 20260403.212340.g6dce57eef127-1
libretro-mupen64plus-next 1:20260520.104813.g98c1b0d87754-1
libretro-nestopia 1:20260402.144055.gb0fd87dd07e3-1
libretro-overlays 20260624.142726.gd89fb7f05d65-1
libretro-parallel-n64 20260626.052303.g60817554d605-1
libretro-picodrive 20260402.125053.gf0d4a0118a97-1
libretro-play 20260622.165905.g1e4f393f3c52-1
libretro-ppsspp 20260626.001958.gdee3cbac84f5-1
libretro-sameboy 20260420.173536.g06c184f0b186-1
libretro-scummvm 20260504.232922.g660e13b0764f-1
libretro-shaders-slang 20260620.024025.g8ec4c82cf61a-1
libretro-snes9x 1:20260420.172910.g185488cd83aa-1
libretro-uae-git 1717.6dec430b-1
libretro-vice-x128-git r21254.7946cfa-1
libretro-vice-x64-git r21254.7946cfa-1
libretro-vice-x64dtv-git r21254.7946cfa-1
libretro-vice-x64sc-git r21254.7946cfa-1
libretro-vice-xcbm2-git r21254.7946cfa-1
libretro-vice-xcbm5x0-git r21254.7946cfa-1
libretro-vice-xpet-git r21254.7946cfa-1
libretro-vice-xplus4-git r21254.7946cfa-1
libretro-vice-xscpu64-git r21254.7946cfa-1
libretro-vice-xvic-git r21254.7946cfa-1
libretro-yabause 20260530.083400.g8926b0c6c347-1
librevenge 0.0.6-1
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libshumate 1.6.3-1
libsigc++ 2.12.2-1
libsixel 1.10.5-1
libslirp 4.9.3-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspectre 0.2.12-2
libspelling 0.4.10-1
libspng 0.7.4-4
libsrtp 1:2.8.0-1
libssh 0.12.2-1
libssh2 1.11.1-7
libstaroffice 0.0.8-1
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsynctex 2026.0-2
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.2-5
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburing 2.15-1
libusb 1.0.30-1
libusb-compat 0.1.9-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.24.1-1
libvdpau 1.5-4
libverto 0.3.2-6
libvisio 0.1.11-1
libvlc 3.0.23_2-10
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.1-1
libwbclient 2:4.24.5-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.28.0-1
limine 12.5.2-1
limine-mkinitcpio-hook 1.36.0-1
limine-snapper-sync 1.30.1-1
linux 7.1.8.arch1-3
linux-api-headers 7.1-1
linux-firmware 20260810-1
linux-firmware-amdgpu 20260810-1
linux-firmware-atheros 20260810-1
linux-firmware-broadcom 20260810-1
linux-firmware-cirrus 20260810-1
linux-firmware-intel 20260810-1
linux-firmware-mediatek 20260810-1
linux-firmware-nvidia 20260810-1
linux-firmware-other 20260810-1
linux-firmware-radeon 20260810-1
linux-firmware-realtek 20260810-1
linux-firmware-whence 20260810-1
lirc 1:0.10.2-6
lld 22.1.8-1
llhttp 9.3.1-1
llvm 22.1.8-2
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lmstudio-bin 0.4.20-1
localsearch 3.11.1-2
localsend 1.18.1-1
lpsolve 5.5.2.14-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1
lua 5.5.1-1
lua-luarocks 3.13.0-5
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
luajit 2.1.1785763465+1edc3e5-1
luarocks 3.13.0-5
lv2 1.18.10-2
lynis 3.1.7-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
mako 1.11.0-1
man-db 2.13.1-2
mariadb-libs 12.3.2-4
marisa 0.3.1-1
mbedtls 4.1.0-1
mbedtls3 3.6.7-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.1.7-1
mesa-utils 9.0.0-7
meson 1.12.0-1
minizip 1:1.3.2-3
mise 2026.8.3-1
mkinitcpio 41.1-1
mkinitcpio-busybox 1.36.1-1
mlt 7.40.0-3
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.28.0-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-4
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mujs 1.3.9-1
muparser 2.3.5-2
mupdf-tools 1.28.0-1
nautilus 50.2.2-1
nautilus-python 4.1.0-3
ncurses 6.6-2
ndctl 85-1
neon 0.37.1-1
neovim 0.12.4-1
nettle 4.0-1
nettle3 3.10.2-2
nftables 1:1.1.6-3
ninja 1.13.2-3
nodejs 26.7.0-1
